receptor activity	receptor binding	binding	protein binding	nucleic acid binding	catalytic activity	ubiquitin-protein ligase activity	ligase activity	DNA binding	transcription factor activity	transcription cofactor activity	transcription regulator activity	growth factor activity	enzyme inhibitor activity	serine-type endopeptidase inhibitor activity	enzyme regulator activity	protease inhibitor activity	protein kinase activity	non-membrane spanning protein tyrosine kinase activity	kinase activity	transferase activity	single-stranded DNA binding	enzyme activator activity	kinase regulator activity	kinase activator activity	DNA replication origin binding	RNA binding	mRNA binding	DNA helicase activity	helicase activity	hydrolase activity	DNA primase activity	DNA-directed RNA polymerase activity	nucleotidyltransferase activity	nuclease activity	hydrolase activity, acting on ester bonds	chromatin binding	phosphoprotein phosphatase activity	phosphoric monoester hydrolase activity	endoribonuclease activity	transporter activity	transmembrane transporter activity	cation transmembrane transporter activity	transferase activity, transferring glycosyl groups	isomerase activity	intramolecular transferase activity	phosphorylase activity	peptidase activity	metallopeptidase activity	amino acid transmembrane transporter activity	acyltransferase activity	oxidoreductase activity	lyase activity	carboxy-lyase activity	deaminase activity	hydro-lyase activity	racemase and epimerase activity	carbohydrate transmembrane transporter activity	ATPase activity, coupled to transmembrane movement of substances	pyrophosphatase activity	ion channel activity	anion channel activity	hydrogen ion transmembrane transporter activity	voltage-gated ion channel activity	voltage-gated potassium channel activity	cation channel activity	adenylate cyclase activity	guanylate cyclase activity	phosphoric diester hydrolase activity	nucleotide phosphatase activity	deacetylase activity	carbohydrate kinase activity	nucleotide kinase activity	transaminase activity	ligand-gated ion channel activity	cyclic nucleotide-gated ion channel activity	peroxidase activity	antioxidant activity	hydrogen ion transporting ATP synthase activity, rotational mechanism	calcium ion binding	calmodulin binding	acetyltransferase activity	G-protein coupled receptor activity	structural molecule activity	structural constituent of cytoskeleton	methyltransferase activity	DNA-methyltransferase activity	carbohydrate phosphatase activity	amino acid kinase activity	translation elongation factor activity	translation factor activity, nucleic acid binding	translation regulator activity	translation initiation factor activity	small GTPase regulator activity	guanyl-nucleotide exchange factor activity	serine-type peptidase activity	protein disulfide isomerase activity	lipid binding	hydrolase activity, hydrolyzing N-glycosyl compounds	phospholipase activity	lipase activity	hydrolase activity, hydrolyzing O-glycosyl compounds	galactosidase activity	glucosidase activity	transketolase activity	lipid transporter activity	cysteine-type peptidase activity	amylase activity	glutamate receptor activity	double-stranded DNA binding	voltage-gated calcium channel activity	voltage-gated sodium channel activity	calcium-dependent phospholipid binding	GTPase activity	hormone activity	transaldolase activity	endodeoxyribonuclease activity	extracellular matrix structural constituent	RNA-directed DNA polymerase activity	RNA helicase activity	actin binding	cytoskeletal protein binding	motor activity	transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein kinase activity	phosphatase regulator activity	phosphatase inhibitor activity	transmembrane receptor protein serine/threonine kinase activity	kinase inhibitor activity	structural constituent of ribosome	microtubule binding	RNA splicing factor activity, transesterification mechanism	aspartic-type endopeptidase activity	translation release factor activity	poly(A) binding	cytokine activity	neuropeptide hormone activity	damaged DNA binding	microtubule motor activity	exoribonuclease activity	aminoacyl-tRNA ligase activity	DNA-directed DNA polymerase activity	SNAP receptor activity	hematopoietin/interferon-class (D200-domain) cytokine receptor activity	tumor necrosis factor receptor activity	tumor necrosis factor receptor binding	hematopoietin/interferon-class (D200-domain) cytokine receptor binding	centromeric DNA binding	DNA topoisomerase activity	ligand-dependent nuclear receptor activity	DNA ligase activity	RNA methyltransferase activity	transforming growth factor beta receptor activity	DNA strand annealing activity	DNA polymerase processivity factor activity	exodeoxyribonuclease activity	DNA photolyase activity	acetylcholine receptor activity	GABA receptor activity	cysteine protease inhibitor activity	structural constituent of myelin sheath	phosphatase activator activity	intermediate filament binding
transcription cofactor activity	0	0	0	0	0	0	0	0	0	0.64096982632147	0.988009742084556	0.641034842689776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcription regulator activity	0	0	0	0	0	0	0	0	0	0.909692303655043	0.641034842689776	0.909823268594267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
growth factor activity	0	0.5955145771603	0.150116879370561	0.391285499298513	0.140361148784009	0	0	0	0.124392050231386	0.120544205065033	0	0	0.996065696621495	0	0	0	0	0	0	0	0	0.0925840232375379	0	0	0	0.083058330179632	0.107025823000112	0.101697067770752	0	0	0	0	0	0	0	0	0.096962893558003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106069545586534	0.29943371448543	0	0	0	0	0	0	0	0	0	0.0958316835656395	0	0	0	0	0	0	0.0769437570386211	0	0	0	0	0	0	0	0	0	0	0	0.0835825791919901	0	0	0.0958316835656395	0	0.413335488583876	0	0	0	0	0	0.287028939908973	0.294733449443479	0	0	0	0	0	0	0	0	0.255195868275657	0	0	0	0.088867904169599	0.428883316445871	0.366007434505349	0.0868294415580243	0	0	0	0	0.241912165569562	0	0	0	0.378910193460675	0.0792545848888167	0.0741439594146864	0	0	0	0	0.0741439594146864	0	0	0	0	0	0	0	0	0.186823533405687
enzyme inhibitor activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97907949790795	0.843848627195884	0.754864063226171	0.901384701270777	0	0	0	0	0	0.559567462228075	0.619003911729518	0.536360560761171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.653989542560714	0.568832235714438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510199575327745	0.706698397342059	0	0.866787230839999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404243514884925	0	0	0	0	0.622621371423674	0	0.362879993710688	0
serine-type endopeptidase inhibitor activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0.843848627195884	0.993942421782302	0.634178676202642	0.93048022190336	0	0	0	0	0	0.49038947864823	0.535446699586993	0.472474059157815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561426428206052	0.497490554239943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.452055418860794	0.63342858122975	0	0.759091177479197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366857063209809	0	0	0	0	0.669332386286701	0	0.332465286914162	0
enzyme regulator activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0.754864063226171	0.634178676202642	0.929057640666958	0.68477336776655	0	0	0	0	0	0.649894083403064	0.731466649544187	0.618798432154946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780826591035997	0.662424841508251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584236721858349	0.517848320806333	0	0.654219044757885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449362649534819	0	0	0	0	0.449362649534819	0	0.39882750744259	0
protease inhibitor activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901384701270777	0.93048022190336	0.68477336776655	0.989258727284082	0	0	0	0	0	0.520104657085494	0.571071565528645	0.499996797930873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.600719021458112	0.528099401243364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.477187423113373	0.665306111150265	0	0.805332998952851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383236942933917	0	0	0	0	0.699217551606679	0	0.345861915130067	0
protein kinase activity	0	0	0	0	0	0.145135776436628	0.0878279389007074	0.0946030008064459	0	0	0	0	0	0	0	0	0	0.965153312933242	0.80311544287875	0.920920943495483	0.5661012957546	0	0	0	0	0	0	0	0.0740872051884549	0.0783921634890367	0.120420617546107	0.252936468667596	0.327800210042923	0.40543350233676	0.0798248080947585	0.0937717736682626	0	0.0783921634890367	0.0806362298348802	0.0691253511724628	0	0	0	0.416532954491714	0.0775227528445057	0.0559152521231371	0.276013294585977	0.102998519710619	0.0846256046166439	0	0.380360031944049	0.100253314069765	0.0790732118963928	0.0656075859595965	0.063152278179451	0.0672909654773628	0.0691253511724628	0	0.0724229702945618	0.0580681927198185	0	0	0	0	0	0	0.0663356545508769	0.063152278179451	0.0625697042290409	0.0635652686369069	0.060911439552044	0.638002632579326	0.693952776897124	0.30836009700984	0	0	0	0	0	0	0	0.352451125840868	0	0	0	0.375627782034583	0.297832592130468	0.053803383844348	0.550215200979065	0	0	0	0	0	0	0.0935986484735898	0.0605358088951787	0	0.0658212123483456	0.0644611974235182	0.0734161281587056	0.0668246495397415	0.053803383844348	0.0634297208082203	0.242114562467827	0	0.0713410272519658	0.0575170706293738	0	0	0	0	0	0.0741873727426893	0	0.221713351799648	0.0647019150696857	0	0.436255569112855	0.0738844813375297	0	0	0	0	0.807199593258292	0	0	0	0	0	0	0.0776777826426334	0.0777162784058088	0	0	0	0	0	0	0.0635652686369069	0.0648199835481274	0.314622273719948	0	0	0	0	0	0	0.053803383844348	0	0.050540172281895	0.299964878737752	0	0	0	0.061092934138531	0.0527078082478991	0	0	0	0	0	0
non-membrane spanning protein tyrosine kinase activity	0	0	0	0	0	0.108280995627972	0.07282775094149	0.0774256273771721	0	0	0	0	0	0	0	0	0	0.80311544287875	0.991007306563417	0.761636705888847	0.447415757647412	0	0	0	0	0	0	0	0.0631204013508888	0.0662185518978734	0.0939023845325499	0.226134281531222	0.284153229717048	0.34070563121914	0.0672378981810127	0.0768679631619321	0	0.0662185518978734	0.0678126807438626	0.0594827252292103	0	0	0	0.348509803617918	0.0655971284673626	0.0494331524304218	0.244402976219444	0.0829599553303199	0.0706120660001826	0	0.322822520092819	0.0811697296989423	0.0667038476798422	0.0568593050999883	0.0550058862573744	0.0581193722319134	0.0594827252292103	0	0.0619083690516777	0.0511083802415593	0	0	0	0	0	0	0.0574053459136571	0.0550058862573744	0.0545633911653796	0.055318936537811	0.0532980616079062	0.557263244222282	0.599479902105446	0.269429137070969	0	0	0	0	0	0	0	0.302492953369647	0	0	0	0.31940726067079	0.261357266386422	0.0477752896385858	0.48910205291586	0	0	0	0	0	0	0.0767515904049873	0.0530102415778926	0	0.0570196892169113	0.055996247307141	0.0626326391425422	0.0577711800919051	0.0477752896385858	0.0552162483248178	0.217444935251074	0	0.0611160621588517	0.0506809652554634	0	0	0	0	0	0.0631930944594081	0	0.200846867239354	0.0561778056115101	0	0.362210746916606	0.0629731925181325	0	0	0	0	0.690656789256693	0	0	0	0	0	0	0.0657080952212276	0.0657356390230882	0	0	0	0	0	0	0.055318936537811	0.056266792258464	0.274197683564721	0	0	0	0	0	0	0.0477752896385858	0	0.0451847280371819	0.262997817146238	0	0	0	0.0534369695457123	0.0469094813051303	0	0	0	0	0	0
kinase activity	0	0	0	0	0	0.154312673819813	0.0911066454296252	0.0984180438248854	0	0	0	0	0	0	0	0	0	0.920920943495483	0.761636705888847	0.955848373196778	0.593614668927813	0	0	0	0	0	0	0	0.0764067057722011	0.0809937851782112	0.126670867615025	0.258285266075899	0.336840419489188	0.419353692556022	0.0825240269157944	0.0975187419694962	0	0.0809937851782112	0.0833915499203252	0.0711403421151217	0	0	0	0.431239580455499	0.0800660517080175	0.057226384044009	0.282394929588139	0.107536980845214	0.0876654395211574	0	0.392585752793808	0.104548029453257	0.0817209976307403	0.0674200222435021	0.0648298607652443	0.0691989554895917	0.0711403421151217	0	0.0746378768468455	0.0594835129580622	0	0	0	0	0	0	0.0681891086299682	0.0648298607652443	0.0642160750403558	0.0652651596976926	0.0624706129965253	0.654573144526736	0.713601807612651	0.316346783974522	0	0	0	0	0	0	0	0.36292384533484	0	0	0	0.387546416393957	0.305276669911428	0.055016271406889	0.562495441239458	0	0	0	0	0	0	0.0973315185574837	0.0620755682528364	0	0.0676456349902888	0.0662100040136315	0.0756931535552066	0.068705917377759	0.055016271406889	0.0651222733168146	0.24701102361228	0	0.0734892686539308	0.0589053317585897	0	0	0	0	0	0.076513248050794	0	0.225812416095515	0.0664639857101548	0	0.452414883612395	0.0761911080482556	0	0	0	0	0.765627585195531	0	0	0	0	0	0	0.0802314313808799	0.0802725005059243	0	0	0	0	0	0	0.0652651596976926	0.0665885788246729	0.322941017340691	0	0	0	0	0	0	0.055016271406889	0	0.0516089352955506	0.307517278973432	0	0	0	0.062661532637519	0.0538712696136198	0	0	0	0	0	0
transferase activity	0	0	0	0	0	0.243463016219431	0.116235837526195	0.128406144098065	0	0	0	0	0	0	0	0	0	0.5661012957546	0.447415757647412	0.593614668927813	0.826141260226066	0	0	0	0	0	0	0	0.0933279180813325	0.100263922402321	0.181109355093157	0.294330570023944	0.400863120164896	0.523430267539684	0.102619528338736	0.12687956206596	0	0.100263922402321	0.103964438794742	0.0855887924478114	0	0	0	0.542079206365886	0.0988460822604324	0.0662185518978734	0.326052332176557	0.14437978197582	0.110692267687896	0	0.48237720601701	0.139042748969285	0.101380724009691	0.0802604292703517	0.076616366174527	0.0827942318889507	0.0855887924478114	0	0.0907023387661052	0.0692595986707662	0	0	0	0	0	0	0.0813527366410951	0.076616366174527	0.0757605848476643	0.0772250769756955	0.0733429399215721	0.373387649053432	0.413663606969135	0.37217054760267	0	0	0	0	0	0	0	0.438355923199159	0	0	0	0.474791348779153	0.356942799523772	0.0632771553710429	0.313067196241898	0	0	0	0	0	0	0.126562812262744	0.0727990216183227	0	0.0805803671658897	0.0785514565577378	0.0922655165691263	0.0820894186211408	0.0632771553710429	0.0770251043616091	0.279778616709655	0	0.0890116867612879	0.0684770029563226	0	0	0	0	0	0.0934869251091982	0	0.252888830584553	0.0789092021725658	0	0.575966269910975	0.0930064535451294	0	0	0	0	0.450260665692258	0	0	0	0	0	0	0.0990982646093326	0.0991609275466282	0	0	0	0	0	0	0.0772250769756955	0.0790848848954943	0.381331105278461	0	0	0	0	0	0	0.0632771553710429	0	0.0588112809323182	0.360009814633634	0	0	0	0.0736062374371582	0.0617672049121905	0	0	0	0	0	0
single-stranded DNA binding	0	0.128967896660651	0.169575756479769	0.146558623511263	0.305208173293056	0	0	0	0.548866209695445	0.530164777349771	0	0	0.0925840232375379	0	0	0	0	0	0	0	0	0.991819146943109	0	0	0	0.354121305279593	0.226263653939557	0.214048536703471	0	0	0	0	0	0	0	0	0.104725015959524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115428521408645	0.109280999875302	0	0	0	0	0	0	0	0	0	0.200727446910588	0	0	0	0	0	0	0.0817521159220209	0	0	0	0	0	0	0	0	0	0	0	0.356509007149977	0	0	0.103406675565611	0	0.0868936003094496	0	0	0	0	0	0.104392501342985	0.107424733903887	0	0	0	0	0	0	0	0	0.0920005931913218	0	0	0	0.185078155171761	0.0903879823080638	0.0763632618809869	0.371342561184434	0	0	0	0	0.0868936003094496	0	0	0	0.07921828967385	0.336858087430757	0.313831169211574	0	0	0	0	0.782408846916632	0	0	0	0	0	0	0	0	0.0661061440138516
enzyme activator activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0.559567462228075	0.49038947864823	0.649894083403064	0.520104657085494	0	0	0	0	0	0.992693436582777	0.546606658191046	0.955761982108146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.573708035463914	0.507110189295298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.459984192272929	0.417812138995441	0	0.502287209762548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372061613026167	0	0	0	0	0.372061613026167	0	0.668903437003152	0
kinase regulator activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619003911729518	0.535446699586993	0.731466649544187	0.571071565528645	0	0	0	0	0	0.546606658191046	0.983013801286455	0.854687998507106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6363545796163	0.555443828317772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.499402761667823	0.45008060851731	0	0.89579234159505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397435595626832	0	0	0	0	0.397435595626832	0	0.357384542412191	0
kinase activator activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536360560761171	0.472474059157815	0.618798432154946	0.499996797930873	0	0	0	0	0	0.955761982108146	0.854687998507106	0.995004059201898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549338951948371	0.487976059250751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444185710298695	0.404736547458675	0	0.78797981873904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361657147254281	0	0	0	0	0.361657147254281	0	0.651929005368312	0
DNA replication origin binding	0	0.111202549461821	0.140138430850865	0.124039621125158	0.255454143214681	0	0	0	0.469004324116163	0.455281166947704	0	0	0.083058330179632	0	0	0	0	0	0	0	0	0.354121305279593	0	0	0	0.997502029600949	0.197715693137409	0.188324545880878	0	0	0	0	0	0	0	0	0.0926994645497737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100988658378421	0.0962514535259937	0	0	0	0	0	0	0	0	0	0.177935170018834	0	0	0	0	0	0	0.0742344686499615	0	0	0	0	0	0	0	0	0	0	0	0.321004915369892	0	0	0.0916650148300118	0	0.0784494661802269	0	0	0	0	0	0.0924388355764111	0.0948085213208665	0	0	0	0	0	0	0	0	0.0825884742057133	0	0	0	0.16552817816646	0.0812866069454091	0.0697640302621099	0.332981465187487	0	0	0	0	0.0784494661802269	0	0	0	0.0721392488606747	0.304985163268278	0.285986747555941	0	0	0	0	0.285986747555941	0	0	0	0	0	0	0	0	0.061102587967271
RNA binding	0	0.158820725119361	0.225245050485449	0.186367305339752	0.395941190622073	0	0	0	0.33368892593657	0.319590951800829	0	0	0.107025823000112	0	0	0	0	0	0	0	0	0.226263653939557	0	0	0	0.197715693137409	0.966964341472554	0.904765433347499	0	0	0	0	0	0	0	0	0.123588668198867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138774979212957	0.129983884699098	0	0	0	0	0	0	0	0	0	0.236347666154089	0	0	0	0	0	0	0.0928105329113936	0	0	0	0	0	0	0	0	0	0	0	0.199248248336719	0	0	0.121756774227153	0	0.0994939021933968	0	0	0	0	0	0.12312584100994	0.127366095896448	0	0	0	0	0	0	0	0	0.106246949086201	0	0	0	0.762547210262108	0.104102063778853	0.0859265822062955	0.208838453518482	0	0	0	0	0.0994939021933968	0	0	0	0.0895584890722898	0.186725856097888	0.172310300057611	0	0	0	0	0.172310300057611	0	0	0	0	0	0	0	0	0.07315435156497
mRNA binding	0	0.147362363662682	0.202872884844894	0.170784457335149	0.359991623885021	0	0	0	0.307785317168694	0.295751716053933	0	0	0.101697067770752	0	0	0	0	0	0	0	0	0.214048536703471	0	0	0	0.188324545880878	0.904765433347499	0.979329294947855	0	0	0	0	0	0	0	0	0.116537315675662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129946145494797	0.122206853535752	0	0	0	0	0	0	0	0	0	0.223051482295014	0	0	0	0	0	0	0.088776636711097	0	0	0	0	0	0	0	0	0	0	0	0.189714459575701	0	0	0.114907117183547	0	0.0948725831247526	0	0	0	0	0	0.116125707129419	0.119890150725665	0	0	0	0	0	0	0	0	0.100993567515723	0	0	0	0.833306839416017	0.0990536096960825	0.0824577155862867	0.198388884380251	0	0	0	0	0.0948725831247526	0	0	0	0.0857966031938458	0.178327517077727	0.165133719220366	0	0	0	0	0.165133719220366	0	0	0	0	0	0	0	0	0.0706248977066469
DNA helicase activity	0	0	0	0	0	0.114097539914639	0.0754134761924946	0.0803547167686227	0	0	0	0	0	0	0	0	0	0.0740872051884549	0.0631204013508888	0.0764067057722011	0.0933279180813325	0	0	0	0	0	0	0	0.988197089864485	0.932144598053613	0.0982457556207137	0.046166833851514	0.0583371153565574	0.0703318574435877	0.0694359348552527	0.0797542240586518	0	0.0683493919564281	0.0700490828079185	0.0611965008731893	0	0	0	0.0719974802589805	0.067687531479547	0.0506110295819079	0.0499842796925537	0.0863318667682724	0.0730402274135734	0	0.0665246266367624	0.084394854976269	0.0688665447804577	0.0584232586219214	0.0564682313427526	0.0597544084768411	0.0611965008731893	0	0.0637669501982586	0.0523684611979091	0	0	0	0	0	0	0.0589999033098593	0.0564682313427526	0.0560019955348709	0.0567981978423224	0.0546698781599069	0.0553696830671722	0.0596821935416353	0.0552356256405183	0	0	0	0	0	0	0	0.0622125709116897	0	0	0	0.0657990357846189	0.0535391011151838	0.0488746070990856	0.0484427269813907	0	0	0	0	0	0	0.0796289551546775	0.0543670933823824	0	0.058592600164423	0.057512450165456	0.064535630371308	0.0593864118422742	0.0488746070990856	0.0566899496864895	0.0443557996979565	0	0.0629266795951934	0.0519198030087384	0	0	0	0	0	0.065130821945594	0	0.0409048170006363	0.0577039904558178	0	0.0749277588412328	0.885064538693097	0	0	0	0	0.0634032466272619	0	0	0	0	0	0	0.0678056897129927	0.0678350205338471	0	0	0	0	0	0	0.0567981978423224	0.0577978818277187	0.0562391088743359	0	0	0	0	0	0	0.0488746070990856	0	0.046166833851514	0.0538836938506325	0	0	0	0.0548160385121111	0.0479688732497299	0	0	0	0	0	0
helicase activity	0	0	0	0	0	0.124638537439348	0.0798785889562829	0.0854438680612348	0	0	0	0	0	0	0	0	0	0.0783921634890367	0.0662185518978734	0.0809937851782112	0.100263922402321	0	0	0	0	0	0	0	0.932144598053613	0.981889714606882	0.105962211886886	0.0478026525732037	0.0609736928195675	0.0742000620917013	0.0732035772761376	0.0847652251898491	0	0.0719969467202675	0.0738853968375094	0.0641043170957402	0	0	0	0.0760563573996845	0.0712629385028596	0.0525836757826956	0.0519074429814053	0.0922340907915012	0.077220939748931	0	0.0699751031845113	0.0900265574290088	0.0725710012463341	0.0610678049080644	0.0589350126748865	0.0625236935444947	0.0641043170957402	0	0.066930485676967	0.0544833457678199	0	0	0	0	0	0	0.0616981167062778	0.0589350126748865	0.058427335775953	0.0592945294141279	0.056978829142665	0.0577394052292127	0.0624446344108789	0.0575936425253656	0	0	0	0	0	0	0	0.0652201207580413	0	0	0	0.0691727448280138	0.055751591708997	0.0507117588863253	0.0502469549780995	0	0	0	0	0	0	0.0846237343017407	0.0566500053063846	0	0.0612528482918791	0.0600733759651082	0.0677778343247332	0.0621209122806285	0.0507117588863253	0.0591765668318709	0.0458636998564479	0	0.0660053785852664	0.0539978859628332	0	0	0	0	0	0.0684346360866751	0	0.0421838257185562	0.0602823849176159	0	0.0793338594724465	0.929791021062425	0	0	0	0	0.0665299129715058	0	0	0	0	0	0	0.0713939212629645	0.0714264393025274	0	0	0	0	0	0	0.0592945294141279	0.0603848619211639	0.0586854790365572	0	0	0	0	0	0	0.0507117588863253	0	0.0478026525732037	0.0561253527553174	0	0	0	0.0571376141344698	0.0497373326541337	0	0	0	0	0	0
hydrolase activity	0	0	0	0	0	0.280029730967879	0.123964155416929	0.137903668705041	0	0	0	0	0	0	0	0	0	0.120420617546107	0.0939023845325499	0.126670867615025	0.181109355093157	0	0	0	0	0	0	0	0.0982457556207137	0.105962211886886	0.763005058390058	0.0607268152950879	0.0836934642715855	0.110804228117535	0.413070768351274	0.517854566690959	0	0.403049944843638	0.418804086803693	0.341219156167188	0	0	0	0.114995486190655	0.104379903884574	0.0686569987641659	0.067508686173481	0.595276528542379	0.4476166668029	0	0.10164000443395	0.15024756109904	0.107210353011085	0.0838708805031616	0.0798997036305196	0.0866417076028802	0.0897068390362359	0	0.36264794285373	0.273607518649846	0	0	0	0	0	0	0.0850644020815073	0.0798997036305196	0.300377192762859	0.306434536041689	0.290399150717451	0.0777179318155647	0.0864899658744866	0.0774540769658905	0	0	0	0	0	0	0	0.0919072003297206	0	0	0	0.0999559232115518	0.0741589101104809	0.24914382765916	0.0647267951161782	0	0	0	0	0	0	0.516467614089067	0.0757570150104434	0	0.320349979635135	0.311929199858878	0.369223262951325	0.326625571027399	0.24914382765916	0.305606836332144	0.0576316239734369	0	0.355549451016294	0.270398025572669	0	0	0	0	0	0.374369049905539	0	0.0519382928572776	0.313412595678728	0	0.122657139509228	0.0978895845115217	0	0	0	0	0.094529738660022	0	0	0	0	0	0	0.104661153271233	0.39836696223314	0	0	0	0	0	0	0.306434536041689	0.0825880406952329	0.0794417525914573	0	0	0	0	0	0	0.0655001480448569	0	0.0607268152950879	0.0748216887864161	0	0	0	0.291484518215928	0.0638835969185275	0	0	0	0	0	0
