immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
pattern specification process	0	0	0	0	0	0	0	0.410324691239588	0	0	0	0.329468091851098	0.45871531839438	0	0.432428172307799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406120875381125	0.403542236376198	0	0	0	0	0	0	0	0	0.90043655183672	0.984484514467142	0.32546540225639	0.343962104829945	0	0	0	0	0	0	0	0.373033396606946	0	0.373033396606946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903716371589523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250999234555611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.330940807697588	0	0	0	0.333887396021314	0	0	0	0	0	0	0.343478195206783	0	0	0	0	0	0.782130064200681	0.242607144417974	0	0	0.266361287098536	0.238650964265541	0	0	0	0	0	0	0	0.27242978623959	0	0	0	0	0	0	0	0	0	0	0
embryonic development	0	0	0	0	0	0	0	0.418927113546459	0	0	0	0.334991430817436	0.469493041994866	0	0.441993154401033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414546125691392	0.411859739548172	0	0	0	0	0	0	0	0	0.29726623274438	0.32546540225639	0.982268016533877	0.349986543431938	0	0	0	0	0	0	0	0.380129732982474	0	0.380129732982474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298365185854287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254192163045434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336514053095859	0	0	0	0.339561178681547	0	0	0	0	0	0	0.349485546513388	0	0	0	0	0	0.257705331825555	0.245588864673827	0	0	0.269959814919877	0.241535653800198	0	0	0	0	0	0	0	0.276195311187835	0	0	0	0	0	0	0	0	0	0	0
skeletal development	0	0	0	0	0	0	0	0.450080676536774	0	0	0	0.461024174197332	0.508975573160663	0	0.619884172562409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.445027805275163	0.574536944015431	0	0	0	0	0	0	0	0	0.31262097679406	0.343962104829945	0.349986543431938	0.972443539208051	0	0	0	0	0	0	0	0.405604704721251	0	0.405604704721251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313836622929042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265336066203216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463243017495877	0	0	0	0.467686997216617	0	0	0	0	0	0	0.482193785741983	0	0	0	0	0	0.269166345992772	0.255975776052377	0	0	0.367347530173525	0.251575534152643	0	0	0	0	0	0	0	0.289402088306452	0	0	0	0	0	0	0	0	0	0	0
DNA metabolic process	0	0	0	0	0	0.0654865440591875	0	0	0.0760308602252712	0	0.0761189159464783	0	0	0.0913627925753629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439537414233201	0.390159448470391	0	0.369253090284935	0	0	0.0582869036653558	0.0495056477773727	0.0409058024154746	0.061420653526582	0.0522505175710522	0	0	0	0	0	0	0	0.960342658599413	0.853868816438565	0.875096770439126	0.780110157421762	0	0	0	0	0	0	0.040725876074768	0.294353963293992	0.239376283897338	0.211741228742095	0.302526406027554	0.320299169229146	0	0	0	0	0.0387134272767581	0	0	0	0	0	0	0	0	0	0.236184400685559	0.25092387064165	0.249295690737408	0.245570749410878	0	0	0.0479075688496905	0	0.0582714213293546	0.0466160573974409	0.0448758475310615	0.25227043579232	0.0520796070668427	0.0524547676349274	0.0350689523476358	0.0455678180205126	0.239376283897338	0	0	0	0.0412092987214027	0.0344773660488838	0.021359544327601	0	0.0371726997954069	0	0	0	0	0	0.0376627169607795	0	0	0	0	0.0466580010937859	0	0	0	0	0.240282556020538	0.0446404600775164	0.0377288671255013	0.0356183013881113	0.0346612342069278	0	0	0	0.0329027254885307	0	0	0.0319420790619307	0.0521775754015466	0	0	0	0.031910048467454	0.0312347165630298	0.0394690176363854	0	0	0.0369152301807077	0	0.0363581464570479	0.0412092987214027	0	0.0352627901024054	0.0296915327033214	0.035731133227	0.0281832398918017	0	0	0	0.029164555978142	0	0	0.0225674430963818	0	0	0	0.0225674430963818	0	0	0	0	0	0	0	0	0.0445066595244817	0	0	0	0	0	0	0.0301766717185853	0.0284117746284129	0	0	0	0	0	0.308253343129099	0	0	0	0	0	0	0.174246967322005	0	0	0	0	0	0	0	0	0.238132577675135	0.239069242695672	0	0	0	0	0.032876352988856	0.213816729992667	0.185357372228953	0.609077822469539	0	0.0316244121399835	0.0254453517839053	0	0	0	0
DNA replication	0	0	0	0	0	0.0566228767249577	0	0	0.0622570420811096	0	0.0644009024471338	0	0	0.0749863048205366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373890433670433	0.337550938490577	0	0.321788550037154	0	0	0.0511589905401363	0.0442671608716592	0.0372622621039839	0.053557382846543	0.0464490617566243	0	0	0	0	0	0	0	0.853868816438565	0.982268016533877	0.785807771716935	0.708358101416752	0	0	0	0	0	0	0.0371129023700478	0.263384437775913	0.21848446570916	0.195228347403494	0.269908612198648	0.283966487476124	0	0	0	0	0.0347938432345644	0	0	0	0	0	0	0	0	0	0.215822321453855	0.228064023927981	0.226718198266897	0.223633229675723	0	0	0.0429850131134543	0	0.0511470629540877	0.0419423865361197	0.0405283347304509	0.229175870103786	0.046313948111552	0.0466104033881142	0.0318216586999088	0.0410918834711503	0.21848446570916	0	0	0	0.0375139342184622	0.0313337966133627	0.0201096522871238	0	0.0341391812654753	0	0	0	0	0	0.0339427843761205	0	0	0	0	0.0419763383296977	0	0	0	0	0.219239199909142	0.0403362484937048	0.0346077070892108	0.0328236388330844	0.0314855901503551	0	0	0	0.0300277712850831	0	0	0.0292256216789267	0.0463914091834096	0	0	0	0.0296485303045352	0.0286323387343583	0.0360662896747723	0	0	0.0339218963774011	0	0.0334509176267025	0.0375139342184622	0	0.0325214901692652	0.0277238477347358	0.0329194355834877	0.0260471156290959	0	0	0	0.0268831068726945	0	0	0.0211767910922534	0	0	0	0.0211767910922534	0	0	0	0	0	0	0	0	0.0402269744233273	0	0	0	0	0	0	0.0281463586858079	0.0266048944739142	0	0	0	0	0	0.274457904214255	0	0	0	0	0	0	0.162907787888478	0	0	0	0	0	0	0	0	0.217447907559999	0.218228651794179	0	0	0	0	0.0304809346975694	0.196991403125911	0.172579086831546	0.56443875020683	0	0.029401789796945	0.0236911838043845	0	0	0	0
DNA repair	0	0	0	0	0	0.058350878263274	0	0	0.0648265668866761	0	0.0666456556273721	0	0	0.0780471678717487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.386521136154409	0.347812036397208	0	0.331100493256146	0	0	0.0525654497748122	0.0453163193516008	0.0380028736037835	0.055100795341303	0.0476055448376033	0	0	0	0	0	0	0	0.875096770439126	0.785807771716935	0.978853411609657	0.722905840465791	0	0	0	0	0	0	0.0378475300004003	0.269590331413712	0.222737748849238	0.198617334631151	0.276429566233927	0.291193497664723	0	0	0	0	0.0355820583871298	0	0	0	0	0	0	0	0	0	0.219971602798419	0.23270241734929	0.23130146001397	0.228091384238394	0	0	0.0439735977587018	0	0.0525528574298842	0.0428830706538664	0.0414059957091873	0.233860063931664	0.0474636296269635	0.0477750352721193	0.0324796891434349	0.0419943937598607	0.222737748849238	0	0	0	0.0382646845763503	0.0319716028157352	0.0203704577346067	0	0.0347598149674438	0	0	0	0	0	0.034692496135498	0	0	0	0	0.0429185631121875	0	0	0	0	0.223522206965013	0.0412055205244173	0.0352456519935722	0.0333969606491154	0.0321296544118718	0	0	0	0.0306130201577354	0	0	0.0297797314964062	0.0475449875432365	0	0	0	0.030115510210039	0.0291639753128635	0.0367596803394037	0	0	0.0345345840615472	0	0.0340465606788629	0.0382646845763503	0	0.0330842149869879	0.028131748984763	0.0334961381946314	0.0264863466510179	0	0	0	0.0273512382596079	0	0	0.0214662099560179	0	0	0	0.0214662099560179	0	0	0	0	0	0	0	0	0.0410914925084627	0	0	0	0	0	0	0.0285668817817279	0.0269803109150951	0	0	0	0	0	0.281203278090596	0	0	0	0	0	0	0.165260785925075	0	0	0	0	0	0	0	0	0.22166053957079	0.222471884081016	0	0	0	0	0.0309747226671504	0.200442417839315	0.175222023537771	0.573637208398025	0	0.0298609692713513	0.024053998908115	0	0	0	0
DNA recombination	0	0	0	0	0	0.0507634771792373	0	0	0.0539259386195713	0	0.0569274160980412	0	0	0.0650437628850498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331649058380288	0.302739401741242	0	0.289999156088503	0	0	0.0463276055954786	0.0406031928446839	0.0346316758592359	0.0482857172437374	0.0424313936053205	0	0	0	0	0	0	0	0.780110157421762	0.708358101416752	0.722905840465791	0.991074102917391	0	0	0	0	0	0	0.0345026237740024	0.241698463979263	0.203349592150412	0.183054227667121	0.247181338157699	0.258919958652927	0	0	0	0	0.0320284631294829	0	0	0	0	0	0	0	0	0	0.201041549709069	0.211622799229348	0.210463528308677	0.20780246279644	0	0	0.039521914500553	0	0.0463178242657974	0.0386387936822807	0.0374355295718661	0.212579780513048	0.0423186143572383	0.0425659910086715	0.0294927403004097	0.0379158392424125	0.203349592150412	0	0	0	0.0348489643146451	0.0290732042728527	0.0191538313228466	0	0.0319179302305693	0	0	0	0	0	0.0313059061383471	0	0	0	0	0.0386676058460032	0	0	0	0	0.204003227605962	0.0372715824495219	0.0323271052801024	0.0307651186022056	0.0292038397932756	0	0	0	0.0279454375050161	0	0	0.0272493941663978	0.0423832779922474	0	0	0	0.0279587481747301	0.0267329247499801	0.033596259736381	0	0	0.0317279218979851	0	0.0313155258536019	0.0348489643146451	0	0.0304995264698473	0.0262408476194375	0.0308492610283962	0.024465742447062	0	0	0	0.0252018712659764	0	0	0.0201195020940064	0	0	0	0.0201195020940064	0	0	0	0	0	0	0	0	0.0371782632129583	0	0	0	0	0	0	0.0266190574208466	0.0252362334570246	0	0	0	0	0	0.250991344992417	0	0	0	0	0	0	0.15434249365085	0	0	0	0	0	0	0	0	0.202451373833171	0.203127974230821	0	0	0	0	0.0286977901243439	0.184603384221735	0.162996528971288	0.531236274303083	0	0.0277392274140557	0.0223757165380341	0	0	0	0
cytokinesis	0	0	0	0	0	0	0	0	0	0.156473627196002	0	0	0	0	0	0	0	0	0	0.145924913075339	0.127496913533186	0.145272404034528	0.131049017354415	0	0	0	0	0.118099595382285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122444766520477	0.107155624688519	0.114281832359396	0	0	0	0	0	0	0	0	0.987479781944528	0.0981247907268938	0.093139175554841	0	0.115056670989063	0.109112600904942	0	0	0	0	0	0	0	0	0	0.09327454768374	0	0	0	0	0.086821064671842	0.085327611071054	0.085073223934382	0	0.0975630954540786	0.0988544036697883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121163052425739	0.11294302167068	0	0	0	0	0	0	0	0	0	0.120964248636721	0	0	0.0946844409513645	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0941876155961561	0	0.0854111694283168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0784036744398237	0	0	0	0	0.0886670533382812	0	0	0	0	0	0	0	0	0.101002204126818	0	0	0	0	0	0	0.118795473027566	0	0	0	0	0	0	0	0	0	0	0.0891039315956108	0.0823695725491894	0	0.0732948867736334	0	0	0	0	0	0	0	0	0	0	0	0	0.0771895703009838	0.0771895703009838	0	0	0	0	0	0	0	0	0	0	0.066857336521591	0
chromosome segregation	0	0	0	0	0	0	0	0	0	0.175941751042882	0	0	0	0	0	0	0	0	0	0.162715781570503	0.140131130716362	0.16190488847041	0.144433980832056	0	0	0	0	0.128861405201892	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134051966214765	0.115941125536144	0.124329504070171	0	0	0	0	0	0	0	0	0.0981247907268938	0.977894926016893	0.0997061993784276	0	0.125247126961004	0.11823559035648	0	0	0	0	0	0	0	0	0	0.0998613499258858	0	0	0	0	0.0925001944518514	0.0908068768413261	0.0905188252246137	0	0.104792987866321	0.106284234215505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132517256118543	0.122746558078312	0	0	0	0	0	0	0	0	0	0.132279483224499	0	0	0.101479126788406	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100908652000032	0	0.0909015170105951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0830058048610292	0	0	0	0	0.0945984990813458	0	0	0	0	0	0	0	0	0.108771082886724	0	0	0	0	0	0	0.129690329827909	0	0	0	0	0	0	0	0	0	0	0.0950959469120154	0.0874641844234981	0	0.0773014826771913	0	0	0	0	0	0	0	0	0	0	0	0	0.0816462226867147	0.0816462226867147	0	0	0	0	0	0	0	0	0	0	0.0701751058495405	0
meiosis	0	0	0	0	0	0	0	0	0	0.160533860647175	0	0	0	0	0	0	0	0	0	0.14944998949929	0.13017970022534	0.148765648569584	0.133885035543237	0	0	0	0	0.120397915844363	0	0	0	0	0	0	0	0	0	0	0	0	0	0.602614455917139	0.526042367553565	0.116432607577652	0	0	0	0	0	0	0	0	0.093139175554841	0.0997061993784276	0.985742526807644	0	0.11723698809204	0.111071539874555	0	0	0	0	0	0	0	0	0	0.0947023467633106	0	0	0	0	0.0880568165890778	0.0865209228700981	0.0862593816455415	0	0.0991263068112387	0.100459609434838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123583376197213	0.115043236391631	0	0	0	0	0	0	0	0	0	0.123376557345445	0	0	0.0961560706099446	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0956437232395649	0	0.0866068358838054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0794100382874763	0	0	0	0	0.0899563031601106	0	0	0	0	0	0	0	0	0.102678511363021	0	0	0	0	0	0	0.1211212247413	0	0	0	0	0	0	0	0	0	0	0.0904060107252241	0.0834810429023181	0	0.0741736390635406	0	0	0	0	0	0	0	0	0	0	0	0	0.0781648139405816	0.0781648139405816	0	0	0	0	0	0	0	0	0	0	0.0675877355248865	0
anatomical structure morphogenesis	0	0	0	0	0	0	0	0.501189823082297	0	0	0	0.385601201974429	0.575321378455693	0	0.53456485510136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494932210356749	0.491107762404695	0	0	0	0	0	0	0	0	0.336452269168207	0.373033396606946	0.380129732982474	0.405604704721251	0	0	0	0	0	0	0	0.949559695680824	0	0.949559695680824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33786073599141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282307757172233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387620032530419	0	0	0	0.391668531276045	0	0	0	0	0	0	0.404931976656488	0	0	0	0	0	0.286647707292706	0.271735602426657	0	0	0.301890716128507	0.266782098545744	0	0	0	0	0	0	0	0.309709881900531	0	0	0	0	0	0	0	0	0	0	0
cellular component organization and biogenesis	0	0	0	0	0	0	0	0	0	0.239007800315115	0	0	0	0	0	0	0	0	0	0.215241232215196	0.17741702455723	0.213824600029814	0.184371115824528	0	0	0	0	0.15973062867869	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167783596222253	0.140344341283664	0.152825566741731	0	0	0	0	0	0	0	0	0.115056670989063	0.125247126961004	0.11723698809204	0	0.926196609357216	0.863170748101025	0	0	0	0	0	0	0	0	0	0.117451552227487	0	0	0	0	0.107399241869021	0.105123217535044	0.104737372435748	0	0.746734658629315	0.759376000543812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165386256166511	0.150440809102098	0	0	0	0	0	0	0	0	0	0.165016067542267	0	0	0.119695859696705	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118902987435059	0	0.1052500722711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0948081645120636	0	0	0	0	0.110238307282084	0	0	0	0	0	0	0	0	0.129973356089357	0	0	0	0	0	0	0.161006231497887	0	0	0	0	0	0	0	0	0	0	0.110914424278408	0.100669290685914	0	0.0874383673288395	0	0	0	0	0	0	0	0	0	0	0	0	0.558780734417846	0.558780734417846	0	0	0	0	0	0	0	0	0	0	0.47103895160149	0
cellular structure morphogenesis	0	0	0	0	0	0	0	0.501189823082297	0	0.214710271536244	0	0.385601201974429	0.575321378455693	0	0.53456485510136	0	0	0	0	0.195334430965761	0.163668455930542	0.194167008068939	0.169568600198131	0	0	0	0	0.148499812585515	0	0	0	0	0	0	0.494932210356749	0.491107762404695	0	0	0	0	0	0.155435581198243	0.13159960529494	0.142513422169644	0.336452269168207	0.373033396606946	0.380129732982474	0.405604704721251	0	0	0	0	0.109112600904942	0.11823559035648	0.111071539874555	0.949559695680824	0.863170748101025	0.949559695680824	0	0	0	0	0	0	0	0	0	0.111264111197372	0	0	0	0	0.10220217205886	0.100138976872223	0.0997887918366223	0	0.705219246514157	0.716483445617161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1533759548089	0.140437451176699	0	0	0	0	0	0	0	0	0	0.153057528169053	0	0	0.1132761580031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112565801585029	0.33786073599141	0.10025408098679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282307757172233	0	0	0.0907351270955248	0	0	0	0	0.10476983512105	0	0	0	0	0	0	0	0	0.122438588572408	0	0	0	0	0	0.387620032530419	0.149601725038751	0	0	0.391668531276045	0	0	0	0	0	0	0.404931976656488	0.105380351318691	0.0960892531675594	0	0.0839623353861168	0	0.286647707292706	0.271735602426657	0	0	0.301890716128507	0.266782098545744	0	0	0	0	0	0.535204207389185	0.535204207389185	0.309709881900531	0	0	0	0	0	0	0	0	0	0.454173517759977	0
protein complex assembly	0	0	0	0	0	0.239980086283829	0	0	0.0507424295061358	0	0.26761601268622	0	0	0.0612370465929334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0526342763429255	0.0482577842929622	0	0.0463168389649114	0	0	0.0443633638372625	0.039086432938971	0.0335221535599853	0.228783384849522	0.20212594034404	0	0	0	0	0	0	0	0.040725876074768	0.0371129023700478	0.0378475300004003	0.0345026237740024	0	0	0	0	0	0	0.993530222248847	0.0388892752767976	0.0329130347608477	0.0297214485523406	0.0397379652654369	0.0415501783662408	0	0	0	0	0.0308778731029297	0	0	0	0	0	0	0	0	0	0.032551089402915	0.0342083115863495	0.0340270123429757	0.0336106005565444	0	0	0.188770810898625	0	0.0443543942798605	0.0372627596033325	0.0361424300639446	0.0343579256791164	0.0406735818857467	0.0409020481042397	0.0285143421772927	0.0365899327401778	0.0329130347608477	0	0	0	0.0337257012456458	0.0281219948338524	0.0187363117027225	0	0.0309731079562078	0	0	0	0	0	0.0302057531688505	0	0	0	0	0.0372895554357042	0	0	0	0	0.0330154903916524	0.0359895903424914	0.0313582709013547	0.0298863744594524	0.0282442040298442	0	0	0	0.0270654759290776	0	0	0.0264120647818304	0.201905659888142	0	0	0	0.0272311129257141	0.0259265654631051	0.161348262592596	0	0	0.0307941506989684	0	0.150713182977689	0.0337257012456458	0	0.146897229194894	0.025598856470407	0.0299657726097044	0.023788623691888	0	0	0	0.0244839908196421	0	0	0.0196593271107884	0	0	0	0.0196593271107884	0	0	0	0	0	0	0	0	0.177960794956679	0	0	0	0	0	0	0.0259586597171233	0.0246419011167184	0	0	0	0	0	0.0403268718139338	0	0	0	0	0	0	0.025171840513763	0	0	0	0	0	0	0	0	0.032772207610165	0.03287829203408	0	0	0	0	0.138451041037641	0.0299657726097044	0.0265474243065717	0.0280820441018263	0	0.133945938061932	0.0218080020744916	0	0	0	0
nuclear mRNA splicing, via spliceosome	0	0	0	0	0	0.0608645342950363	0	0	0.068661585815393	0	0.0699449602896348	0	0	0.0826105496968012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405038037491264	0.362734220404568	0	0.344595357012296	0	0	0.0545966878542534	0.0468179430219901	0.0390533067018162	0.0573368683776828	0.0492654929813037	0	0	0	0	0	0	0	0.294353963293992	0.263384437775913	0.269590331413712	0.241698463979263	0	0	0	0	0	0	0.0388892752767976	0.973162403402624	0.228764477943403	0.203395461336913	0.942331371983862	0.874160047777829	0	0	0	0	0.0367074026017919	0	0	0	0	0	0	0	0	0	0.225847596857329	0.69360081159476	0.689307618725486	0.679475948923313	0	0	0.0453861666948517	0	0.0545831036433709	0.0442253767576726	0.0426560771102128	0.240512693173938	0.0491135241962952	0.0494470318803777	0.0334147740617644	0.0432808079547604	0.228764477943403	0	0	0	0.0393298437368305	0.0328772532411007	0.0207343662456544	0	0.0356365477164604	0	0	0	0	0	0.035761430631132	0	0	0	0	0.0442631269061387	0	0	0	0	0.229592040197568	0.0424433452664253	0.036147382050802	0.0342054921337018	0.0330444092301189	0	0	0	0.0314423392942092	0	0	0.0305639385699429	0.0492006418156967	0	0	0	0.0307714011707217	0.0299156782284979	0.0377416237381601	0	0	0.0353998503915014	0	0.0348872472259736	0.0393298437368305	0	0.033877494551155	0.0287032566450444	0.0343095374122785	0.0271048903293241	0	0	0	0.0280113410264624	0	0	0.0218707103236717	0	0	0	0.0218707103236717	0	0	0	0	0	0	0	0	0.0423223735424665	0	0	0	0	0	0	0.02915639120877	0.02750555541968	0	0	0	0	0	0.290877816094127	0	0	0	0	0	0	0.555808677408799	0	0	0	0	0	0	0	0	0.750600469265143	0.753422140978796	0	0	0	0	0.0316690048026204	0.595110575793158	0.178930297662884	0.19066608203454	0	0.0305057010221517	0.0245630606114074	0	0	0	0
